REAL_GENOTYPE,TANK,STRIP,POSITION,GENOTYPE,FRESH_LS,FRESH_RS,DRY_LS,DRY_RS,AREA,S_WEIGHT,w_WEIGHT,w_AREA,S,P,T,geno
7,A,13,5,7,0.04,0.59,0.0019,0.1103,3.151351842397862,0.31875,1,1,87,5,A,7
17,A,12,4,17,4.16,3.53,0.3435,0.2416,9.884104032560396,0.6487499999999999,5,1,88,4,A,17
11,A,11,2,11,2.42,2.79,0.1702,0.1647,19.55388753049978,0.509,5,1,89,2,A,11
24,A,10,1,24,1.96,2.33,0.167,0.1454,23.303732392654208,0.72325,5,0,90,1,A,24
16,A,10,2,16,1.69,1,0.0921,0.0685,4.44016669161667,0.60675,1,1,90,2,A,16
26,A,10,4,26,4.53,3.89,0.3268,0.2282,10.868477653113057,0.8365,5,1,90,4,A,26
28,A,9,2,28,0.39,0.96,0.0296,0.3233,14.742093727568987,0.959,4,1,91,2,A,28
4,A,9,5,4,1.69,1.32,0.141,0.1403,4.995304281292743,0.30775,5,1,91,5,A,4
25,A,9,3,25,3.12,2.02,0.2248,0.1125,7.173945030662915,0.76325,5,1,91,3,A,25
26,A,8,1,26,3.49,3.06,0.2466,0.2042,23.25238656384706,0.8365,5,1,92,1,A,26
19,A,8,2,19,1.51,1.55,0.1476,0.1386,4.244520275396865,0.67125,5,1,92,2,A,19
14,A,7,5,14,0.55,0.72,0.028,0.1133,4.875045261866286,0.58,3,1,93,5,A,14
28,A,7,4,28,0.7,0.89,0.0401,0.0401,17.264948571004513,0.959,3,1,93,4,A,28
10,A,7,3,10,1.37,1.04,0.0682,0.0915,6.211994426552946,0.4385,3,1,93,3,A,10
6,A,6,3,6,2.79,3.77,0.2091,0.2142,24.607395692989563,0.3225,5,1,94,3,A,6
12,A,6,4,12,0.15,0.81,0.0062,0.1098,3.352359310765735,0.50225,2,1,94,4,A,12
10,A,5,2,10,3.22,3.05,0.3045,0.2788,20.797766782716174,0.4385,5,1,95,2,A,10
18,A,5,1,18,2.07,1.91,0.1419,0.1116,7.234068142939212,0.6415,5,1,95,1,A,18
5,A,5,4,5,2.19,2.43,0.1548,0.0905,23.45972749477649,0.36174999999999996,5,1,95,4,A,5
17,A,5,3,17,3.11,3.54,0.2254,0.1823,11.673383975444079,0.6487499999999999,5,1,95,3,A,17
23,A,5,5,23,3.02,3.38,0.2236,0.1816,11.260621344664473,0.787,5,1,95,5,A,23
24,A,4,1,24,3.25,4.42,0.2891,0.2525,24.87780255718349,0.72325,5,1,96,1,A,24
16,A,4,4,16,5.17,5.07,0.3463,0.2203,14.591651600702695,0.60675,5,1,96,4,A,16
25,A,3,4,25,2.16,2.11,0.1448,0.1125,24.32629871168415,0.76325,5,1,97,4,A,25
9,A,2,4,9,2.05,2.39,0.15310000000000001,0.2185,8.311083047687774,0.46725000000000005,5,1,98,4,A,9
24,A,2,2,24,1.5,1.86,0.1129,0.1122,7.185665135120265,0.72325,5,1,98,2,A,24
7,A,1,3,7,1.08,1.45,0.0972,0.1252,5.951842653759198,0.31875,5,1,99,3,A,7
13,A,1,2,13,1.94,2.22,0.1845,0.2368,22.602867587129893,0.5075000000000001,5,1,99,2,A,13
11,B,12,13,11,2.26,2,0.1992,0.2118,9.081647529833555,0.509,5,1,67,3,B,11
21,B,13,12,21,3.19,2.04,0.2266,0.1652,8.491866687457925,0.7795,5,1,68,2,B,21
24,B,14,13,24,1.09,0.89,0.1117,0.0969,7.596010613684452,0.72325,5,1,69,3,B,24
2,B,14,14,2,1.46,1.12,0.1635,0.1744,24.901412664666143,0.32425000000000004,5,1,69,4,B,2
5,B,15,12,5,0.16,1.05,0.0131,0.136,7.170873727327702,0.36174999999999996,2,1,70,2,B,5
28,B,16,13,28,3.06,3.12,0.2487,0.2212,10.519096898679376,0.959,5,1,71,3,B,28
9,B,17,15,9,1.72,2.33,0.1666,0.1948,24.605359073926873,0.46725000000000005,5,1,72,5,B,9
14,B,18,11,14,2.53,2.743,0.2304,0.2207,10.990018927652756,0.58,5,1,73,1,B,14
6,B,18,14,6,1.98,2.72,0.1855,0.1859,25.705438562461886,0.3225,5,1,73,4,B,6
12,B,18,15,12,1.49,2.2,0.1624,0.2038,9.155919233563178,0.50225,5,1,73,5,B,12
25,B,19,12,25,0.84,0.82,0.0687,0.0636,7.27127395907418,0.76325,5,1,74,2,B,25
22,B,20,14,22,0.64,0.92,0.0595,0.0958,22.054918083705104,0.7705,5,1,75,4,B,22
26,B,20,11,26,1.07,1.21,0.0972,0.1121,8.469826684567435,0.8365,5,1,75,1,B,26
23,B,20,13,23,0.95,1.2,0.091,0.1414,6.911166808021877,0.787,5,1,75,3,B,23
27,B,21,14,27,0.73,0.92,0.0678,0.1698,6.9289281218266385,0.88425,4,1,76,4,B,27
5,B,21,13,5,2.55,2.24,0.2789,0.2154,24.790921065475988,0.36174999999999996,5,1,76,3,B,5
29,B,21,12,29,1.22,1.11,0.1362,0.10780000000000001,8.559343199039546,0.9465,5,1,76,2,B,29
3,B,22,12,3,2.78,2.54,0.293,0.1793,29.17594983728304,0.33999999999999997,5,1,77,2,B,3
8,B,22,13,8,2.31,2.47,0.2116,0.245,11.56302097001368,0.42325,5,1,77,3,B,8
6,B,22,11,6,1.22,0.98,0.1282,0.1084,7.839528241249605,0.3225,5,1,77,1,B,6
12,B,23,13,12,2.76,2.27,0.2597,0.1829,27.077940600385652,0.50225,5,1,78,3,B,12
13,B,23,11,13,1.82,1.77,0.2033,0.1938,27.468607099708038,0.5075000000000001,5,1,78,1,B,13
10,B,23,15,10,0.61,0.59,0.0311,0.0734,20.737525561205537,0.4385,1,1,78,5,B,10
19,B,24,14,19,3.38,3.48,0.2932,0.27,27.57595465477001,0.67125,5,1,79,4,B,19
25,B,25,13,25,2.19,1.39,0.1913,0.0866,23.34991563059003,0.76325,5,1,80,3,B,25
23,B,25,12,23,1.5,1.46,0.126,0.1703,7.790148999800962,0.787,5,1,80,2,B,23
3,B,25,15,3,2.06,1.82,0.187,0.1529,23.36204175239892,0.33999999999999997,5,1,80,5,B,3
29,B,26,11,29,1.54,1.13,0.0691,0.0495,7.627806027690408,0.9465,3,1,81,1,B,29
30,B,26,13,30,2.37,2.01,0.1829,0.1857,9.194211916180798,1.00625,5,1,81,3,B,30
22,B,26,15,22,3,2.56,0.272,0.1737,12.453615840911366,0.7705,5,1,81,5,B,22
26,B,26,14,26,2.09,1.63,0.155,0.1353,23.97788773480495,0.8365,5,1,81,4,B,26
27,B,27,13,27,3.04,2.22,0.2194,0.1603,26.84254931268406,0.88425,5,1,82,3,B,27
4,B,27,15,4,2.9,2.38,0.2879,0.1614,28.580210524180615,0.30775,5,1,82,5,B,4
6,B,28,13,6,3.54,3.58,0.1285,0.1836,13.168188612221456,0.3225,5,1,83,3,B,6
10,B,28,14,10,2.73,2.09,0.1836,0.2376,26.982414904797587,0.4385,5,1,83,4,B,10
5,B,28,15,5,2.17,1.87,0.1501,0.2003,9.895441516342057,0.36174999999999996,5,1,83,5,B,5
14,B,29,12,14,2.87,3.07,0.1903,0.2752,11.568878019962145,0.58,5,1,84,2,B,14
12,B,29,11,12,2.17,2.82,0.1265,0.2141,27.360340418842462,0.50225,5,1,84,1,B,12
9,B,29,15,9,0.73,1.31,0,0.0675,22.680253247683485,0.46725000000000005,4,1,84,5,B,9
21,B,29,13,21,1.7,1.93,0.2078,0.1395,25.169524830975938,0.7795,5,1,84,3,B,21
13,B,30,11,13,1.72,1.69,0.1757,0.1974,10.644142379559657,0.5075000000000001,5,1,85,1,B,13
17,B,30,14,17,2.31,2.64,0.2475,0.1891,25.59071264577652,0.6487499999999999,5,1,85,4,B,17
18,B,31,11,18,1.02,1.16,0.1212,0.181,23.105288713261906,0.6415,5,1,86,1,B,18
24,B,31,12,24,0.62,0.98,0.067,0.0578,7.950032518037052,0.72325,5,1,86,2,B,24
25,B,31,14,25,1.75,1.17,0.2041,0.1261,9.178821313069461,0.76325,5,1,86,4,B,25
19,B,31,13,19,1.85,3.23,0.1987,0.2609,27.09844661400393,0.67125,5,1,86,3,B,19
23,B,31,15,23,1.01,1.69,0.1231,0.1737,24.585182677838166,0.787,5,1,86,5,B,23
9,B,32,13,9,0.78,1.33,0.0848,0.1539,7.221628488082425,0.46725000000000005,5,1,87,3,B,9
28,B,32,11,28,0.58,1.08,0.0736,0.2198,6.450659425223095,0.959,4,1,87,1,B,28
3,B,33,14,3,2.11,3.3,0.2464,0.2297,12.751805606794179,0.33999999999999997,5,1,88,4,B,3
26,B,33,15,26,0.9,1.28,0.0993,0.148,22.101932953258967,0.8365,5,1,88,5,B,26
5,B,34,13,5,1.61,2,0.1552,0.1198,9.078459114114857,0.36174999999999996,5,1,89,3,B,5
8,B,34,14,8,0.96,1.27,0.1036,0.111,21.678196941402877,0.42325,5,1,89,4,B,8
6,B,34,12,6,0.7,1.4,0.0729,0.1053,21.055371941688122,0.3225,5,1,89,2,B,6
7,B,34,15,7,0.75,1.33,0.0805,0.1429,6.585967421110482,0.31875,5,1,89,5,B,7
12,B,35,12,12,2.83,2.89,0.2836,0.1359,13.53640308674139,0.50225,5,1,90,2,B,12
10,B,35,11,10,1.41,1.25,0.1589,0.1109,24.75591188055675,0.4385,5,1,90,1,B,10
14,B,36,13,14,3.53,4.04,0.3022,0.2051,11.039385491504108,0.58,5,1,91,3,B,14
19,B,36,12,19,1.78,2.8,0.1471,0.1515,25.76129605612626,0.67125,5,1,91,2,B,19
8,B,36,15,8,0.98,1.21,0.0792,0.1166,7.069452948999294,0.42325,5,1,91,5,B,8
24,B,37,15,24,1.67,1.71,0.1569,0.0771,23.611023424396514,0.72325,5,1,92,5,B,24
