Name	   Shoot	   Root
b794	   0.2932	   0.2700
b795	   0.1472	   0.2036
b801	   0.2426	   0.2113
b802	   0.1260	   0.1703
b803	   0.1913	   0.0866
b804	   0.0000	   0.0000
b805	   0.1870	   0.1529
b811	   0.0691	   0.0495
b812	   0.0001	   0.1012
b813	   0.1829	   0.1857
b814	   0.1550	   0.1353
b815	   0.2720	   0.1737
b821	   0.2640	   0.2281
b822	   0.2378	   0.1852
b823	   0.2194	   0.1603
b824	   0.3038	   0.2764
b825	   0.2879	   0.1614
b832		   0.1085
b833	   0.1285	   0.1836
b834	   0.1836	   0.2376
b835	   0.1501	   0.2003
b841	   0.1265	   0.2141
b842	   0.1903	   0.2752
b843	   0.2078	   0.1395
b844	   0.1293	   0.0000
b845	   0.0000	   0.0675
b851	   0.1757	   0.1974
b852	   0.1583	   0.0000
b853	   0.2372	   0.2368
b854	   0.2475	   0.1891
b861	   0.1212	   0.1810
b862	   0.0670	   0.0578
b863	   0.1987	   0.2609
b864	   0.2041	   0.1261
b865	   0.1231	   0.1737
b871	   0.0736	   0.2198
b873	   0.0848	   0.1539
b882	   0.0000	   0.1201
b884	   0.2464	   0.2297
b885	   0.0993	   0.1480
b892	   0.0729	   0.1053
b893	   0.1552	   0.1198
b894	   0.1036	   0.1110
b895	   0.0805	   0.1429
b901	   0.1589	   0.1109
b902	   0.2836	   0.1359
b911	   0.2267	   0.1662
b912	   0.1471	   0.1515
b913	   0.3022	   0.2051
b915	   0.0792	   0.1166
b921	   0.1971	   0.1822
b922	   0.2725	   0.2564
b924	   0.2857	   0.1938
b925	   0.1569	   0.0771
b931	   0.0000	   0.1410
b932	   0.0000	   0.0000
b933	   0.2957	   0.1941
b934	   0.0857	   0.0924
b935	   0.2920	   0.1113
b943	   0.2335	   0.2328
b944	   0.1874	   0.1064
b951	   0.0430	   0.0623
b952	   0.1804	   0.2169
b953	   0.2873	   0.1442
b954	   0.0000	   0.0001
b955	   0.0579	   0.1652
b964	   0.1928	   0.1096
b971	   0.2031	   0.1564
b972	   0.0000	   0.0000
b973	   0.0000	   0.0000
b974	   0.1634	   0.1822
b975	   0.0486	   0.1903
b981	   0.1794	   0.1627
b982	   0.0000	   0.0000
b983	   0.3316	   0.2369
b984	   0.1922	   0.1674
b985	   0.1641	   0.1012
b992	   0.1301	   0.1355
b993	   0.1874	   0.2468
b994	   0.1180	   0.1222
